Label,Month,Year,Natural_Disasters,Close (Rs.)
CTC.N0000,5,1992,0.0,60.638888888888886
CTCE.N0000,5,1992,0.0,51.708333333333336
CTHR.N0000,5,1992,0.0,210.15
DFCC.N0000,5,1992,0.0,1686.888888888889
DIPD.N0000,5,1992,0.0,96.0
EAST.N0000,5,1992,0.0,37.25
GHLL.N0000,5,1992,0.0,6.386363636363637
GRAN.N0000,5,1992,0.0,196.7941176470588
HAYC.N0000,5,1992,0.0,139.8
HAYL.N0000,5,1992,0.0,478.90384615384613
HDEV.N0000,5,1992,0.0,26.944444444444443
HNB.N0000,5,1992,0.0,397.7142857142857
JKH.N0000,5,1992,0.0,306.28125
KAPI.N0000,5,1992,0.0,27.5625
LCEM.N0000,5,1992,0.0,6.75
LDEV.N0000,5,1992,0.0,50.0
LMF.N0000,5,1992,0.0,36.05555555555556
MORI.N0000,5,1992,0.0,220.0
NEST.N0000,5,1992,0.0,22.53846153846154
ONAL.N0000,5,1992,0.0,18.125
OSEA.N0000,5,1992,0.0,19.75
PDL.N0000,5,1992,0.0,17.2
RICH.N0000,5,1992,0.0,230.11111111111111
SAMP.N0000,5,1992,0.0,31.73611111111111
SEYB.N0000,5,1992,0.0,79.23611111111111
SHOT.N0000,5,1992,0.0,71.125
SPEN.N0000,5,1992,0.0,319.9166666666667
SUGA.N0000,5,1992,0.0,36.77777777777778
TILE.N0000,5,1992,0.0,65.28846153846153
TKYO.N0000,5,1992,0.0,30.25
ACL.N0000,6,1992,0.0,115.625
ASIR.N0000,6,1992,0.0,19.53125
BHR.N0000,6,1992,0.0,92.0
BINN.N0000,6,1992,0.0,40.25
BOGA.N0000,6,1992,0.0,11.465909090909092
BRWN.N0000,6,1992,0.0,147.5
CARG.N0000,6,1992,0.0,175.0
CFIN.N0000,6,1992,0.0,262.6666666666667
CFLB.N0000,6,1992,0.0,16.75
CFT.N0000,6,1992,0.0,52.5
CHOU.N0000,6,1992,0.0,19.0
CIC.N0000,6,1992,0.0,140.0625
CIND.N0000,6,1992,0.0,96.80882352941177
CINV.N0000,6,1992,0.0,242.85714285714286
COMB.N0000,6,1992,0.0,235.8653846153846
CTC.N0000,6,1992,0.0,55.276315789473685
CTCE.N0000,6,1992,0.0,47.333333333333336
DFCC.N0000,6,1992,0.0,1687.1363636363637
DIPD.N0000,6,1992,0.0,93.0
EAST.N0000,6,1992,0.0,35.916666666666664
GHLL.N0000,6,1992,0.0,6.118421052631579
GRAN.N0000,6,1992,0.0,105.6875
HAYC.N0000,6,1992,0.0,104.54545454545455
HAYL.N0000,6,1992,0.0,432.73214285714283
HDEV.N0000,6,1992,0.0,30.294117647058822
HNB.N0000,6,1992,0.0,336.25
JKH.N0000,6,1992,0.0,289.89473684210526
KAPI.N0000,6,1992,0.0,18.05
KZOO.N0000,6,1992,0.0,125.0
LCEM.N0000,6,1992,0.0,6.0
LMF.N0000,6,1992,0.0,34.95454545454545
NEST.N0000,6,1992,0.0,21.7125
ONAL.N0000,6,1992,0.0,17.055555555555557
OSEA.N0000,6,1992,0.0,18.583333333333332
PARQ.N0000,6,1992,0.0,44.0
PDL.N0000,6,1992,0.0,17.34375
RICH.N0000,6,1992,0.0,229.0
SAMP.N0000,6,1992,0.0,30.214285714285715
SEYB.N0000,6,1992,0.0,74.70454545454545
SHOT.N0000,6,1992,0.0,71.75
SPEN.N0000,6,1992,0.0,271.0
SUGA.N0000,6,1992,0.0,34.18181818181818
TILE.N0000,6,1992,0.0,73.075
TKYO.N0000,6,1992,0.0,28.25
ACL.N0000,7,1992,0.0,151.25
ARPI.N0000,7,1992,0.0,56.625
ASIR.N0000,7,1992,0.0,18.025
BHR.N0000,7,1992,0.0,97.90789473684211
BINN.N0000,7,1992,0.0,34.0
BOGA.N0000,7,1992,0.0,10.284090909090908
CARG.N0000,7,1992,0.0,200.0
CFIN.N0000,7,1992,0.0,279.675
CFLB.N0000,7,1992,0.0,13.333333333333334
CFT.N0000,7,1992,0.0,55.333333333333336
CHOU.N0000,7,1992,0.0,17.928571428571427
CIC.N0000,7,1992,0.0,120.9375
CIND.N0000,7,1992,0.0,92.671875
CINV.N0000,7,1992,0.0,211.0
COMB.N0000,7,1992,0.0,234.88095238095238
CTC.N0000,7,1992,0.0,43.0625
CTCE.N0000,7,1992,0.0,38.44444444444444
DFCC.N0000,7,1992,0.0,1640.409090909091
DIPD.N0000,7,1992,0.0,92.5
EAST.N0000,7,1992,0.0,36.0625
GHLL.N0000,7,1992,0.0,5.722222222222222
GRAN.N0000,7,1992,0.0,96.0875
HAYC.N0000,7,1992,0.0,119.33333333333333
HAYL.N0000,7,1992,0.0,429.46153846153845
