Currency,Date,"Buy Rate","Sell Rate"
AUD,2022-05-12,252.6789,269.0664
AUD,2022-05-11,251.4614,267.8522
AUD,2022-05-09,254.1187,270.5633
AUD,2022-05-06,257.0415,273.5458
AUD,2022-05-05,259.0083,275.5551
AUD,2022-05-04,249.0727,260.3309
AUD,2022-04-29,247.2441,258.5167
AUD,2022-04-28,243.6123,254.7298
AUD,2022-04-27,241.7220,252.7641
AUD,2022-04-26,240.2072,251.2318
AUD,2022-04-25,237.1052,248.1078
AUD,2022-04-22,241.2313,253.3660
AUD,2022-04-21,243.7639,255.9489
AUD,2022-04-20,242.8035,253.8356
AUD,2022-04-19,241.1112,252.1059
AUD,2022-04-18,238.5421,249.4114
AUD,2022-04-12,235.9729,246.8669
AUD,2022-04-11,234.3011,245.1234
AUD,2022-04-08,231.5992,242.3828
AUD,2022-04-07,231.0015,241.7940
AUD,2022-04-06,224.7154,235.3249
AUD,2022-04-05,220.3049,230.7434
AUD,2022-04-04,216.6392,227.0394
AUD,2022-04-01,215.7009,226.0702
AUD,2022-03-31,215.9575,226.3398
AUD,2022-03-30,216.0528,226.4357
AUD,2022-03-29,215.4039,225.7732
AUD,2022-03-28,215.9585,226.3382
AUD,2022-03-25,213.4703,223.7255
AUD,2022-03-24,209.0166,219.0876
AUD,2022-03-23,204.6499,214.6332
AUD,2022-03-22,200.6508,210.0798
AUD,2022-03-21,195.8385,205.2083
AUD,2022-03-18,195.1883,204.5449
AUD,2022-03-16,190.1991,199.4518
AUD,2022-03-15,186.1723,195.3485
AUD,2022-03-14,181.5499,190.6333
AUD,2022-03-11,183.2543,192.3706
AUD,2022-03-10,182.3823,191.4742
AUD,2022-03-09,162.2670,168.6486
AUD,2022-03-08,163.7483,170.1589
AUD,2022-03-07,145.7605,151.8096
AUD,2022-03-04,143.9529,149.9655
AUD,2022-03-03,143.0184,149.0137
AUD,2022-03-02,142.8599,148.8512
AUD,2022-02-28,141.0729,147.0281
AUD,2022-02-25,140.8243,146.7743
AUD,2022-02-24,141.6383,147.6048
AUD,2022-02-23,142.0752,148.0508
AUD,2022-02-22,141.3002,147.2608
AUD,2022-02-21,141.4201,147.3817
AUD,2022-02-18,141.3006,147.2603
AUD,2022-02-17,141.6025,147.5703
AUD,2022-02-15,140.0091,145.9438
AUD,2022-02-14,139.8806,145.8115
AUD,2022-02-11,140.3972,146.3379
AUD,2022-02-10,140.7497,146.6977
AUD,2022-02-09,140.4652,146.4102
AUD,2022-02-08,140.0296,145.9631
AUD,2022-02-07,139.0215,144.9345
AUD,2022-02-03,139.8608,145.7912
AUD,2022-02-02,140.1942,146.1307
AUD,2022-02-01,138.8232,144.7316
AUD,2022-01-31,137.6232,143.5438
AUD,2022-01-28,138.2294,144.1616
AUD,2022-01-27,139.0284,144.9777
AUD,2022-01-26,140.6872,146.6698
AUD,2022-01-25,140.4350,146.4105
AUD,2022-01-24,141.0693,147.0602
AUD,2022-01-21,141.4067,147.4050
AUD,2022-01-20,142.2122,148.2248
AUD,2022-01-19,141.2084,147.2021
AUD,2022-01-18,141.8345,147.8400
AUD,2022-01-13,142.9518,148.9804
AUD,2022-01-12,141.6062,147.6081
AUD,2022-01-11,141.1090,147.1008
AUD,2022-01-10,141.2633,147.2576
AUD,2022-01-07,140.8020,146.7858
AUD,2022-01-06,141.5470,147.5457
AUD,2022-01-05,142.0680,148.0781
AUD,2022-01-04,141.4317,147.4302
AUD,2022-01-03,142.5857,148.6039
AUD,2021-12-31,142.4448,148.4637
AUD,2021-12-30,142.6934,148.7168
AUD,2021-12-29,141.8387,147.8458
AUD,2021-12-28,142.0131,148.0226
AUD,2021-12-27,142.0527,148.0633
AUD,2021-12-24,142.0734,148.0840
AUD,2021-12-23,141.4626,147.4609
AUD,2021-12-22,140.3201,146.2946
AUD,2021-12-21,139.7639,145.7271
AUD,2021-12-20,139.7538,145.7172
AUD,2021-12-17,140.9949,146.9842
AUD,2021-12-16,140.7833,146.7645
AUD,2021-12-15,139.5647,145.5249
AUD,2021-12-14,139.6299,145.5903
AUD,2021-12-13,140.7583,146.7091
AUD,2021-12-10,140.5050,146.4507
AUD,2021-12-09,140.7035,146.6535
AUD,2021-12-08,140.0140,145.9486
AUD,2021-12-07,138.4547,144.3576
AUD,2021-12-06,137.6956,143.8738
AUD,2021-12-03,138.7039,144.9021
AUD,2021-12-02,139.5482,145.7634
AUD,2021-12-01,140.0693,146.2956
AUD,2021-11-30,140.2382,146.4678
AUD,2021-11-29,140.1051,146.3301
AUD,2021-11-26,140.3790,146.6081
AUD,2021-11-25,141.3361,147.5871
AUD,2021-11-24,141.6832,147.9422
AUD,2021-11-23,141.7848,148.0415
AUD,2021-11-22,142.0214,148.2864
AUD,2021-11-19,142.7806,149.0620
AUD,2021-11-17,143.0154,149.3001
AUD,2021-11-16,144.4752,150.7890
AUD,2021-11-15,144.0578,150.3633
AUD,2021-11-12,142.9009,149.1826
AUD,2021-11-11,143.6455,149.9428
AUD,2021-11-10,144.6039,150.9207
