Label,Year,Month,Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.),Loan Rate,Inflation,Buy Rate,Election
SHOT.N0000,2017,5,24.773333333333333,2.0,255.0,5930.6,8.75,6.0,150.61125,0
SPEN.N0000,2017,5,66.92999999999999,19.5,18819.5,1314360.0,8.75,6.0,150.61125,0
TILE.N0000,2017,5,105.8,4.0,524.0,55439.0,8.75,6.0,150.61125,0
TKYO.N0000,2017,5,75.60499999999999,34.5,56301.0,4242816.0,8.75,6.0,150.61125,0
TYRE.N0000,2017,5,58.52,5.0,2941.5,171548.4,8.75,6.0,150.61125,0
ACL.N0000,2017,6,57.615,12.5,12373.5,715997.5,8.75,6.1,150.85125,0
ASIR.N0000,2017,6,24.657894736842103,6.0,2350.0,57565.0,8.75,6.1,150.85125,0
BFL.N0000,2017,6,160.595,12.5,2500.0,403990.9,8.75,6.1,150.85125,0
BOGA.N0000,2017,6,16.1,5.5,3231.5,50789.75,8.75,6.1,150.85125,0
BRWN.N0000,2017,6,95.8375,5.0,1453.5,142069.15,8.75,6.1,150.85125,0
CARG.N0000,2017,6,205.14736842105265,4.0,1006.0,207206.5,8.75,6.1,150.85125,0
CCS.N0000,2017,6,861.7263157894737,20.0,13395.0,11388512.5,8.75,6.1,150.85125,0
CFIN.N0000,2017,6,91.755,20.5,17192.5,1592844.9,8.75,6.1,150.85125,0
CFLB.N0000,2017,6,20.672222222222224,4.0,2602.5,52049.85,8.75,6.1,150.85125,0
CFVF.N0000,2017,6,28.610000000000003,49.0,79895.5,2423465.5,8.75,6.1,150.85125,0
CIC.N0000,2017,6,79.03529411764706,10.0,1000.0,77136.7,8.75,6.1,150.85125,0
CIC.X0000,2017,6,58.31666666666667,9.0,2905.0,170910.25,8.75,6.1,150.85125,0
CIND.N0000,2017,6,45.705263157894734,15.0,6600.0,297341.6,8.75,6.1,150.85125,0
CINV.N0000,2017,6,49.525,20.0,15367.5,748360.65,8.75,6.1,150.85125,0
COMB.N0000,2017,6,137.515,54.5,170501.5,23178099.15,8.75,6.1,150.85125,0
CTC.N0000,2017,6,990.2611111111112,6.0,709.5,697489.65,8.75,6.1,150.85125,0
DFCC.N0000,2017,6,128.78,17.5,4523.5,584911.75,8.75,6.1,150.85125,0
DIPD.N0000,2017,6,102.17,10.5,6505.0,638871.55,8.75,6.1,150.85125,0
EAST.N0000,2017,6,15.066666666666666,21.5,30950.0,476323.85,8.75,6.1,150.85125,0
GHLL.N0000,2017,6,10.105,16.5,7202.0,72658.5,8.75,6.1,150.85125,0
GLAS.N0000,2017,6,6.255,24.5,161084.5,1013962.3,8.75,6.1,150.85125,0
GRAN.N0000,2017,6,69.41499999999999,49.5,34794.5,2383618.6,8.75,6.1,150.85125,0
HAYC.N0000,2017,6,164.12941176470588,5.0,716.0,116710.0,8.75,6.1,150.85125,0
HAYL.N0000,2017,6,286.92,14.0,4333.5,1245007.95,8.75,6.1,150.85125,0
HNB.N0000,2017,6,241.91,21.0,31491.5,7495239.75,8.75,6.1,150.85125,0
JKH.N0000,2017,6,173.65,105.0,1277078.5,220154624.55,8.75,6.1,150.85125,0
LMF.N0000,2017,6,130.2375,4.5,3323.5,428283.0,8.75,6.1,150.85125,0
LWL.N0000,2017,6,103.53888888888888,11.0,5030.0,517736.4,8.75,6.1,150.85125,0
NDB.N0000,2017,6,144.23,14.0,7672.5,1109368.6,8.75,6.1,150.85125,0
NEST.N0000,2017,6,2067.384210526316,6.0,105.0,213150.0,8.75,6.1,150.85125,0
ONAL.N0000,2017,6,48.92,2.0,142.0,7065.7,8.75,6.1,150.85125,0
OSEA.N0000,2017,6,19.630000000000003,15.0,14852.0,289614.3,8.75,6.1,150.85125,0
PALM.N0000,2017,6,33.857894736842105,17.0,2951.0,101322.7,8.75,6.1,150.85125,0
PARQ.N0000,2017,6,74.995,16.0,41570.5,3127147.9,8.75,6.1,150.85125,0
PDL.N0000,2017,6,87.14999999999999,4.0,331.0,28623.2,8.75,6.1,150.85125,0
RCL.N0000,2017,6,130.0,9.0,4766.5,623155.45,8.75,6.1,150.85125,0
RICH.N0000,2017,6,9.82,28.5,140107.5,1356731.25,8.75,6.1,150.85125,0
SAMP.N0000,2017,6,291.51,38.0,69665.0,19947467.15,8.75,6.1,150.85125,0
SEMB.N0000,2017,6,0.8099999999999999,13.0,186841.5,146824.2,8.75,6.1,150.85125,0
SEYB.N0000,2017,6,91.71052631578948,7.0,8524.0,792307.5,8.75,6.1,150.85125,0
SHOT.N0000,2017,6,24.107142857142858,2.5,418.5,9936.9,8.75,6.1,150.85125,0
SPEN.N0000,2017,6,68.26,10.0,6105.0,409254.5500000001,8.75,6.1,150.85125,0
TILE.N0000,2017,6,107.48333333333332,2.0,387.5,41937.5,8.75,6.1,150.85125,0
TKYO.N0000,2017,6,68.71000000000001,73.0,300455.5,21588167.700000003,8.75,6.1,150.85125,0
TYRE.N0000,2017,6,56.766666666666666,12.0,5555.0,314377.75,8.75,6.1,150.85125,0
ACL.N0000,2017,7,57.3,10.0,9730.0,553689.0,8.75,4.8,151.6362,0
ASIR.N0000,2017,7,25.23684210526316,6.0,16468.0,447349.0,8.75,4.8,151.6362,0
BFL.N0000,2017,7,162.685,12.0,3635.0,587945.35,8.75,4.8,151.6362,0
BOGA.N0000,2017,7,15.133333333333333,3.0,907.0,13670.4,8.75,4.8,151.6362,0
BRWN.N0000,2017,7,96.28947368421052,4.0,900.0,85520.0,8.75,4.8,151.6362,0
