Label,Year,Month,Loan Rate,Election,Close (Rs.),Inflation,Buy Rate
RICH.N0000,1992,2,19.5,0,227.7142857142857,10.7,43.05
SAMP.N0000,1992,2,19.5,0,40.208333333333336,10.7,43.05
SEYB.N0000,1992,2,19.5,0,84.76388888888889,10.7,43.05
SHOT.N0000,1992,2,19.5,0,0.0,10.7,43.05
SPEN.N0000,1992,2,19.5,0,230.125,10.7,43.05
SUGA.N0000,1992,2,19.5,0,37.97222222222222,10.7,43.05
SUN.N0000,1992,2,19.5,0,16.5,10.7,43.05
TILE.N0000,1992,2,19.5,0,72.75,10.7,43.05
TKYO.N0000,1992,2,19.5,0,51.25,10.7,43.05
ASIR.N0000,1992,3,19.5,0,24.625,9.5,43.07
BHR.N0000,1992,3,19.5,0,73.203125,9.5,43.07
BINN.N0000,1992,3,19.5,0,47.5,9.5,43.07
BRWN.N0000,1992,3,19.5,0,134.6,9.5,43.07
CARG.N0000,1992,3,19.5,0,0.0,9.5,43.07
CFIN.N0000,1992,3,19.5,0,292.953125,9.5,43.07
CFLB.N0000,1992,3,19.5,0,13.0,9.5,43.07
CFT.N0000,1992,3,19.5,0,84.0,9.5,43.07
CHOU.N0000,1992,3,19.5,0,23.55,9.5,43.07
CIC.N0000,1992,3,19.5,0,127.27777777777776,9.5,43.07
CIND.N0000,1992,3,19.5,0,75.86904761904762,9.5,43.07
COMB.N0000,1992,3,19.5,0,258.84615384615387,9.5,43.07
CTC.N0000,1992,3,19.5,0,55.325,9.5,43.07
CTCE.N0000,1992,3,19.5,0,60.675,9.5,43.07
CTHR.N0000,1992,3,19.5,0,350.0,9.5,43.07
DFCC.N0000,1992,3,19.5,0,1375.5238095238096,9.5,43.07
DIPD.N0000,1992,3,19.5,0,76.59375,9.5,43.07
GHLL.N0000,1992,3,19.5,0,7.6,9.5,43.07
GRAN.N0000,1992,3,19.5,0,188.33333333333331,9.5,43.07
HAYC.N0000,1992,3,19.5,0,144.19230769230768,9.5,43.07
HAYL.N0000,1992,3,19.5,0,468.42105263157896,9.5,43.07
HDEV.N0000,1992,3,19.5,0,29.7,9.5,43.07
HNB.N0000,1992,3,19.5,0,366.75,9.5,43.07
JKH.N0000,1992,3,19.5,0,319.5833333333333,9.5,43.07
KAPI.N0000,1992,3,19.5,0,35.575,9.5,43.07
LCEM.N0000,1992,3,19.5,0,7.65625,9.5,43.07
LMF.N0000,1992,3,19.5,0,36.54761904761905,9.5,43.07
NEST.N0000,1992,3,19.5,0,24.625,9.5,43.07
ONAL.N0000,1992,3,19.5,0,18.0,9.5,43.07
OSEA.N0000,1992,3,19.5,0,20.88636363636364,9.5,43.07
PDL.N0000,1992,3,19.5,0,18.5,9.5,43.07
