"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"L O L C DEVELOPMENT FINANCE PLC","NIFL.N0000","30.00","84.00","24.80","39.40","841.00","62,997.00","3,047,602.00"
"COLOMBO FORT INVESTMENTS PLC","CFI.N0000","65.00","69.00","40.00","50.20","430.00","54,009.00","2,906,674.50"
"ABANS FINANCE PLC","AFSL.N0000","24.60","25.50","16.20","17.90","764.00","129,623.00","2,780,656.00"
"KELANI VALLEY PLANTATIONS PLC","KVAL.N0000","73.20","100.00","60.50","99.70","247.00","31,940.00","2,611,282.20"
"KELSEY DEVELOPMENTS PLC","KDL.N0000","42.90","47.90","24.00","30.40","260.00","67,239.00","2,566,888.80"
"COLOMBO INVESTMENT TRUST PLC","CIT.N0000","89.90","89.90","56.00","60.00","433.00","34,492.00","2,414,175.50"
"SELINSING PLC","SELI.N0000","724.90","849.70","550.00","711.40","324.00","3,244.00","2,060,460.30"
"CEYLON COLD STORES PLC","CCS.N0000","950.00","1.00","0.00","700.00","718.00","1,155.00","2,003,371.00"
"CEYLON PRINTERS PLC","CPRT.N0000","80.00","90.00","49.00","65.00","357.00","31,523.00","1,967,871.10"
"MACKWOODS ENERGY PLC","MEL.N0000","2.30","2.50","1.70","1.90","362.00","891,590.00","1,798,950.00"
"RADIANT GEMS INTERNATIONAL PLC","RGEM.N0000","26.00","33.00","17.40","24.00","576.00","78,020.00","1,695,796.50"
"SINGHE HOSPITALS PLC","SINH.N0000","1.70","1.90","1.10","1.40","650.00","1,073,762.00","1,633,401.80"
"TRANS ASIA HOTELS PLC","TRAN.N0000","90.00","97.00","70.20","87.80","241.00","18,775.00","1,560,254.30"
"KOTMALE HOLDINGS PLC","LAMB.N0000","190.00","225.00","150.00","165.30","364.00","8,054.00","1,510,023.70"
"AGALAWATTE  PLANTATIONS  PLC","AGAL.N0000","21.40","22.80","12.50","14.00","395.00","88,831.00","1,497,238.00"
"INDUSTRIAL ASPHALTS (CEYLON) PLC","ASPH.N0000","360.00","410.00","273.90","375.00","156.00","4,075.00","1,389,261.30"
"SERENDIB HOTELS PLC","SHOT.N0000","20.00","22.70","14.00","17.00","206.00","81,622.00","1,351,398.70"
"PARAGON CEYLON PLC","PARA.N0000","73.50","73.90","38.10","50.10","247.00","24,698.00","1,334,493.70"
"RAMBODA FALLS PLC","RFL.N0000","20.60","22.20","15.90","17.50","421.00","68,309.00","1,332,291.80"
"DIALOG FINANCE PLC","CALF.R0000","34.00","34.00","15.00","16.20","170.00","59,316.00","1,064,675.60"
"CANDOR OPPORTUNITIES FUND","COF.U0000","8.00","9.90","6.40","7.50","227.00","117,253.00","829,522.30"
"MERCANTILE SHIPPING COMPANY PLC","MSL.N0000","60.00","90.00","55.00","69.70","140.00","10,952.00","776,429.00"
"SAMSON INTERNATIONAL PLC","SIL.N0000","95.00","118.70","73.10","100.00","208.00","8,498.00","764,899.50"
"MORISON PLC","MORI.X0000","421.00","664.00","360.70","532.90","161.00","1,195.00","588,804.60"
"CEYLINCO INSURANCE PLC","CINS.X0000","830.00","1.00","78.80","825.00","950.00","839.00","534,842.00"
"PC PHARMA PLC","PCP.N0000","0.10","0.20","0.10","0.10","226.00","3,604,294.00","402,580.30"
"TESS AGRO PLC","TESS.R0001","0.40","0.50","0.30","0.30","35.00","759,822.00","303,064.70"
"ASSOCIATED MOTOR FINANCE COMPANY PLC","AMF.N0000","470.00","500.00","350.00","400.00","116.00","530.00","227,772.30"
"HUEJAY INTERNATIONAL INVESTMENTS PLC","HUEJ.N0000","39.10","48.00","19.50","22.40","138.00","6,357.00","220,425.90"
"TESS AGRO PLC","TESS.R0000","0.10","0.20","0.10","0.10","12.00","2,044,619.00","204,462.00"
"PC HOUSE PLC","PCH.N0000","0.10","0.10","0.10","0.10","153.00","1,778,515.00","177,851.50"
"NATIONS TRUST BANK PLC","NTB.R0001","0.10","0.20","0.10","0.10","116.00","1,612,003.00","162,200.30"
"BROWN & COMPANY PLC","BRWN.R0000","0.10","0.50","0.10","0.10","132.00","1,141,102.00","154,899.50"
"STANDARD CAPITAL PLC","SING.N0000","55.00","63.30","40.00","54.00","56.00","2,341.00","124,637.40"
"LOLC FINANCE PLC","LOFC.R0000","0.10","0.20","0.10","0.10","62.00","625,623.00","64,392.30"
"LANKA REALTY INVESTMENTS PLC","ASCO.R0000","0.50","2.00","0.10","0.10","76.00","130,424.00","28,599.10"
"LANKEM CEYLON PLC","LCEY.R0000","0.20","0.30","0.10","0.10","64.00","153,368.00","27,279.50"
"R I L PROPERTY PLC","RIL.R0000","0.10","0.20","0.10","0.10","42.00","183,708.00","18,370.90"
"AIA INSURANCE LANKA PLC","CTCE.N0000","339.00","1.00","990.00","320.00","1.00","708.00","5,409.00"
"CEYLINCO INSURANCE PLC","CINS.N0000","1.00","550.00","2.00","100.00","0.00","1.00","990.00"
"LANKA ASHOK LEYLAND PLC","ASHO.N0000","1.00","240.00","1.00","240.00","750.00","820.00","940.00"
"NATION LANKA FINANCE PLC","CSF.R0000","0.10","0.10","0.10","0.10","1.00","8,520.00","852.00"
"SERENDIB LAND PLC","SLND.N0000","1.00","325.00","1.00","852.10","0.00","1.00","481.70"
"CEYLON TOBACCO COMPANY PLC","CTC.N0000","1.00","0.00","1.00","500.00","0.00","1.00","415.00"
"THE NUWARA ELIYA HOTELS COMPANY PLC","NEH.N0000","1.00","88.20","1.00","350.00","891.00","950.00","326.00"
"INDO-MALAY PLC","INDO.N0000","1.00","600.00","1.00","620.00","980.00","1.00","300.00"
"GOOD HOPE PLC","GOOD.N0000","1.00","374.90","1.00","387.00","712.00","903.00","237.00"
"SWADESHI INDUSTRIAL WORKS  PLC","SWAD.N0000","9.00","700.00","15.00","0.00","9.00","700.00","14.00"
"SHALIMAR (MALAY) PLC.","SHAL.N0000","1.00","300.00","2.00","150.00","1.00","125.00","1.00"
"HARISCHANDRA MILLS PLC","HARI.N0000","1.00","350.00","1.00","599.00","1.00","57.00","1.00"
"NESTLE LANKA PLC","NEST.N0000","1.00","670.00","1.00","899.00","1.00","600.00","1.00"
"E B CREASY & COMPANY PLC","EBCR.N0000","1.00","120.00","1.00","740.00","1.00","10.00","1.00"
