"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)","even","even 2","even 3","even 4","even 5","even 6","even 7","even 8"
"ASIRI HOSPITAL HOLDINGS PLC","","","","","","","","","ASIR.N0000","33.50","36.00","23.10","32.50","7,322.00","65,338,224.00","1,905,604,086.80"
"OVERSEAS REALTY (CEYLON) PLC","OSEA.N0000","14.50","21.50","13.80","19.20","23,227.00","112,871,442.00","1,876,724,744.80","","","","","","","",""
"CEYLON COLD STORES PLC","","","","","","","","","CCS.N0000","805.00","818.00","583.20","704.60","2,850.00","2,624,395.00","1,869,934,651.00"
"CEYLON COLD STORES PLC","CCS.N0000","805.00","818.00","583.20","704.60","2,850.00","2,624,395.00","1,869,934,651.00","","","","","","","",""
"PEOPLE'S LEASING & FINANCE PLC","","","","","","","","","PLC.N0000","12.50","15.40","10.00","10.70","32,977.00","184,392,109.00","2,314,580,511.60"
"PEOPLE'S LEASING & FINANCE PLC","PLC.N0000","12.50","15.40","10.00","10.70","32,977.00","184,392,109.00","2,314,580,511.60","","","","","","","",""
"AITKEN SPENCE PLC","","","","","","","","","SPEN.N0000","57.60","92.50","48.10","82.40","18,125.00","49,310,233.00","3,472,028,799.90"
"AITKEN SPENCE PLC","SPEN.N0000","57.60","92.50","48.10","82.40","18,125.00","49,310,233.00","3,472,028,799.90","","","","","","","",""
"hSenid Business Solutions PLC","","","","","","","","","HBS.N0000","25.00","35.40","20.20","34.60","27,725.00","66,742,812.00","1,743,511,373.50"
"SANASA DEVELOPMENT BANK PLC","SDB.N0000","59.20","68.50","42.00","43.00","18,546.00","32,484,591.00","1,700,439,475.00","","","","","","","",""
"COMMERCIAL BANK OF CEYLON PLC","","","","","","","","","COMB.X0000","84.70","87.20","48.00","70.10","21,407.00","26,614,491.00","1,679,837,737.90"
"COMMERCIAL BANK OF CEYLON PLC","COMB.X0000","84.70","87.20","48.00","70.10","21,407.00","26,614,491.00","1,679,837,737.90","","","","","","","",""
"AMANA BANK PLC","","","","","","","","","ABL.N0000","3.40","5.20","2.90","4.40","26,972.00","413,278,826.00","1,671,705,225.50"
"DANKOTUWA PORCELAIN PLC","DPL.N0000","10.50","17.10","10.10","14.60","36,432.00","115,856,792.00","1,665,067,946.30","","","","","","","",""
"VALLIBEL POWER ERATHNA PLC","","","","","","","","","VPEL.N0000","6.40","8.50","4.80","7.90","24,459.00","318,230,546.00","2,451,916,282.90"
"DISTILLERIES COMPANY OF SRI LANKA PLC","DIST.N0000","20.60","24.60","16.50","17.00","22,247.00","84,394,736.00","1,651,062,875.50","","","","","","","",""
"LOLC GENERAL INSURANCE PLC","","","","","","","","","LGIL.N0000","16.00","22.00","16.00","20.50","17,789.00","85,341,171.00","1,631,594,614.00"
