Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs)
ODEL PLC,ODEL.N0000,15.7,14,8771,136599.6
HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,34.9,10,3653,127826.8
RENUKA HOLDINGS PLC,RHL.X0000,12,3,10308,123696
EASTERN MERCHANTS PLC,EMER.N0000,8.5,11,14030,119275
CITRUS LEISURE PLC,REEF.N0000,6.9,11,17511,118601.2
HAYLEYS LEISURE PLC,CONN.N0000,23.4,18,5079,116223.8
MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,3.4,5,34913,115213.8
BROWNS BEACH HOTELS PLC,BBH.N0000,14.8,24,7881,115152.8
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,78.5,8,1290,101335
HIKKADUWA BEACH RESORT PLC,CITH.N0000,5.3,9,19190,97871
RENUKA FOODS PLC,COCO.N0000,20.5,11,4686,93846.4
CEYLINCO INSURANCE PLC,CINS.X0000,900,5,104,93529
HORANA PLANTATIONS PLC,HOPL.N0000,46.5,16,1980,92070.5
BUKIT DARAH PLC,BUKI.N0000,412,6,212,87777
ARPICO INSURANCE PLC,AINS.N0000,23.5,5,3731,86788.5
LAUGFS GAS PLC,LGL.X0000,23.9,17,3698,86347.2
MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,1.1,8,66550,74185
TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,48,8,1464,70236.3
NATION LANKA FINANCE PLC,CSF.N0000,0.5,17,123415,69257.5
THE LIGHTHOUSE HOTEL PLC,LHL.N0000,32.2,5,2147,69133.4
BERUWALA RESORTS PLC,BERU.N0000,1.4,14,47543,68343.1
SOFTLOGIC FINANCE PLC,CRL.N0000,7,19,9215,68232
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,17.1,24,3960,67556
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,1020.25,11,66,67486.5
RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,92.4,23,764,65844
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,48.6,16,1330,64191.5
MYLAND DEVELOPMENTS PLC,MDL.N0000,9.4,6,6662,63722.8
B P P L HOLDINGS PLC,BPPL.N0000,21.4,14,2808,59642.8
HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,40.8,15,1359,55734.4
YORK ARCADE HOLDINGS PLC,YORK.N0000,170,12,329,53109.75
KELSEY DEVELOPMENTS PLC,KDL.N0000,24,3,1977,47366
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,46,5,905,41430.5
MALWATTE VALLEY PLANTATION PLC,MAL.X0000,30.7,15,1309,41341.5
INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,0.3,10,133248,40979.2
ABANS FINANCE PLC,AFSL.N0000,24,3,1560,37490
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,116,3,315,36545
LAUGFS POWER PLC,LPL.N0000,8.4,15,4250,36025
