Label,Year,Month,Close (Rs.),Loan Rate
SEMB.N0000,2019,5,0.4,8.5
SEYB.N0000,2019,5,51.8,8.5
SEYB.X0000,2019,5,31.0,8.5
SFL.N0000,2019,5,8.3,8.5
SFL.P0000,2019,5,5.9,8.5
SHAL.N0000,2019,5,1497.6,8.5
SHL.N0000,2019,5,15.8,8.5
SHOT.N0000,2019,5,12.4,8.5
SINH.N0000,2019,5,1.2,8.5
SIRA.N0000,2019,5,1.5,8.5
SPEN.N0000,2019,5,40.0,8.5
SUN.N0000,2019,5,43.0,8.5
TAFL.N0000,2019,5,89.0,8.5
TAP.N0000,2019,5,3.5,8.5
TFIL.N0000,2019,5,56.2,8.5
TILE.N0000,2019,5,65.0,8.5
TJL.N0000,2019,5,30.2,8.5
TKYO.N0000,2019,5,20.9,8.5
TKYO.X0000,2019,5,17.7,8.5
TYRE.N0000,2019,5,31.15,8.5
UBC.N0000,2019,5,11.0,8.5
UDPL.N0000,2019,5,25.1,8.5
VFIN.N0000,2019,5,67.25,8.5
VLL.N0000,2019,5,4.3,8.5
VONE.N0000,2019,5,14.2,8.5
VPEL.N0000,2019,5,5.9,8.5
WATA.N0000,2019,5,19.0,8.5
AAIC.N0000,2019,6,33.0,8.5
ACL.N0000,2019,6,31.0,8.5
AEL.N0000,2019,6,13.8,8.5
AGST.N0000,2019,6,4.0,8.5
ALHP.N0000,2019,6,0.8,8.5
ALUM.N0000,2019,6,9.7,8.5
AMF.N0000,2019,6,437.4,8.5
AMSL.N0000,2019,6,9.0,8.5
ARPI.N0000,2019,6,147.0,8.5
ASIR.N0000,2019,6,20.25,8.5
ASIY.N0000,2019,6,1.9,8.5
BFL.N0000,2019,6,95.0,8.5
BIL.N0000,2019,6,1.5,8.5
BLI.N0000,2019,6,23.0,8.5
BOGA.N0000,2019,6,11.1,8.5
BRWN.N0000,2019,6,40.3,8.5
CARE.N0000,2019,6,32.5,8.5
CARG.N0000,2019,6,190.6,8.5
CCS.N0000,2019,6,570.0,8.5
CDB.R0000,2019,6,3.2,8.5
CDB.R0001,2019,6,0.1,8.5
CDB.X0000,2019,6,63.0,8.5
